Timestamp(ms),CO_PPM,Temperature(C),Pressure(hPa),Humidity(%),Altitude(m),Status
3458,194.08,23.33,997.34,51.26,133.30,Unsafe
5472,1000.00,23.32,997.34,51.29,133.28,Unsafe
7486,1000.00,23.32,997.34,51.77,133.27,Unsafe
9500,1000.00,23.31,997.35,51.78,133.27,Unsafe
11514,1000.00,23.31,997.34,51.66,133.29,Unsafe
13528,928.60,23.30,997.34,51.51,133.27,Unsafe
15542,725.60,23.30,997.34,51.34,133.30,Unsafe
17556,541.42,23.30,997.34,51.33,133.28,Unsafe
19570,396.51,23.29,997.35,51.28,133.25,Unsafe
21584,293.52,23.29,997.35,51.26,133.26,Unsafe
23600,219.70,23.29,997.34,51.26,133.27,Unsafe
25614,168.82,23.28,997.35,51.22,133.26,Unsafe
27628,134.10,23.28,997.35,51.22,133.24,Unsafe
29642,107.37,23.28,997.35,51.16,133.26,Unsafe
31656,88.66,23.28,997.35,51.17,133.25,Unsafe
33670,74.09,23.27,997.35,51.21,133.27,Unsafe
35684,63.30,23.27,997.34,51.22,133.29,Unsafe
37698,54.54,23.26,997.34,51.23,133.32,Unsafe
39712,47.91,23.26,997.34,51.23,133.33,Unsafe
41726,42.21,23.25,997.34,51.23,133.34,Unsafe
43740,37.70,23.25,997.34,51.21,133.35,Unsafe
45758,33.84,23.24,997.33,51.20,133.36,Unsafe
47774,30.92,23.24,997.34,51.20,133.35,Unsafe
49790,28.48,23.24,997.34,51.25,133.33,Warning
51806,26.14,23.23,997.34,51.26,133.33,Warning
53822,24.22,23.23,997.34,51.25,133.34,Warning
55838,22.67,23.22,997.34,51.28,133.31,Warning
57854,21.18,23.22,997.34,51.27,133.29,Warning
59870,20.02,23.21,997.34,51.27,133.27,Warning
61886,18.90,23.21,997.34,51.32,133.28,Warning
63902,17.80,23.20,997.35,51.32,133.22,Warning
65918,17.00,23.20,997.35,51.36,133.20,Warning
67936,16.22,23.19,997.36,51.38,133.14,Warning
69952,15.45,23.18,997.36,51.39,133.14,Warning
71968,14.95,23.18,997.36,51.38,133.13,Warning
73984,14.21,23.17,997.37,51.33,133.10,Warning
76000,13.73,23.17,997.36,51.35,133.13,Warning
78016,13.26,23.16,997.36,51.34,133.14,Warning
80032,12.79,23.15,997.36,51.36,133.18,Warning
82048,12.33,23.15,997.35,51.36,133.20,Warning
84064,12.11,23.14,997.35,51.41,133.27,Warning
86080,11.66,23.13,997.34,51.40,133.30,Warning
88096,11.44,23.13,997.35,51.36,133.27,Warning
90114,11.00,23.12,997.34,51.41,133.30,Warning
92130,10.78,23.12,997.34,51.45,133.30,Warning
94146,10.57,23.11,997.34,51.54,133.32,Warning
96162,10.15,23.10,997.34,51.61,133.30,Warning
98178,9.94,23.10,997.34,51.63,133.32,Warning
100194,9.74,23.09,997.34,51.66,133.34,Warning
102210,9.53,23.08,997.34,51.70,133.33,Warning
104226,9.33,23.07,997.34,51.71,133.34,Warning
106242,9.13,23.07,997.34,51.67,133.30,Warning
108258,8.93,23.06,997.33,51.68,133.36,Warning
110276,8.93,23.05,997.33,51.74,133.36,Warning
112292,8.73,23.04,997.34,51.79,133.34,Warning
114308,8.54,23.04,997.34,51.75,133.33,Warning
116324,8.35,23.03,997.34,51.69,133.35,Warning
118363,8.15,23.02,997.34,51.70,133.32,Warning
120379,8.15,23.02,997.34,51.70,133.35,Warning
122395,7.97,23.01,997.33,51.75,133.38,Warning
124411,7.78,23.00,997.33,51.81,133.38,Warning
126427,7.59,23.00,997.33,51.82,133.39,Warning
128443,7.59,22.99,997.32,51.79,133.44,Warning
130459,7.41,22.99,997.32,51.78,133.48,Warning
132477,7.23,22.98,997.32,51.79,133.50,Warning
134493,7.23,22.98,997.31,51.79,133.54,Warning
136509,7.05,22.97,997.30,51.81,133.61,Warning
138525,7.05,22.96,997.30,51.80,133.64,Warning
140541,7.05,22.96,997.30,51.83,133.68,Warning
142557,6.87,22.95,997.29,51.85,133.71,Warning
144588,6.87,22.95,997.29,51.86,133.74,Warning
146604,6.69,22.94,997.29,51.85,133.75,Warning
148620,6.69,22.94,997.28,51.87,133.79,Warning
150636,6.52,22.93,997.28,51.90,133.82,Warning
152652,6.52,22.93,997.28,51.92,133.85,Warning
154670,6.35,22.92,997.27,51.94,133.94,Warning
156686,6.35,22.91,997.26,51.94,133.95,Warning
158702,6.35,22.91,997.26,51.93,133.98,Warning
160718,6.18,22.90,997.26,51.89,133.97,Warning
162734,6.18,22.90,997.26,51.92,133.99,Warning
164750,6.01,22.89,997.26,51.92,134.00,Warning
166766,6.01,22.89,997.26,51.89,134.02,Warning
168782,6.01,22.88,997.25,51.97,134.05,Warning
170798,5.84,22.88,997.25,51.94,134.08,Warning
172814,5.84,22.87,997.25,51.95,134.10,Warning
174830,5.84,22.87,997.24,51.97,134.12,Warning
176857,5.68,22.86,997.24,51.97,134.13,Warning
178875,5.84,22.86,997.24,51.99,134.13,Warning
180893,6.35,22.85,997.25,52.00,134.11,Warning
182911,6.35,22.85,997.24,51.97,134.14,Warning
184929,6.35,22.84,997.23,51.97,134.20,Warning
186947,6.35,22.83,997.24,52.03,134.18,Warning
188965,6.18,22.83,997.23,52.13,134.23,Warning
190983,6.18,22.82,997.23,52.18,134.26,Warning
193001,6.18,22.81,997.22,52.22,134.31,Warning
195019,6.01,22.81,997.22,52.22,134.32,Warning
197037,6.01,22.80,997.22,52.25,134.34,Warning
199057,6.01,22.79,997.21,52.26,134.38,Warning
201075,6.01,22.79,997.21,52.27,134.37,Warning
203093,6.01,22.78,997.21,52.31,134.40,Warning
205111,6.01,22.78,997.21,52.33,134.44,Warning
207129,5.84,22.77,997.20,52.34,134.47,Warning
209147,5.84,22.76,997.20,52.36,134.50,Warning
211165,5.84,22.76,997.20,52.41,134.52,Warning
213183,5.84,22.75,997.20,52.44,134.52,Warning
215201,5.68,22.74,997.20,52.48,134.52,Warning
217219,5.68,22.74,997.20,52.51,134.52,Warning
219237,5.68,22.73,997.19,52.53,134.55,Warning
221257,5.68,22.73,997.19,52.55,134.56,Warning
223275,5.68,22.72,997.19,52.58,134.56,Warning
225293,5.68,22.72,997.19,52.58,134.61,Warning
227311,5.52,22.72,997.19,52.57,134.59,Warning
229329,5.52,22.71,997.18,52.61,134.63,Warning
231347,5.52,22.71,997.19,52.63,134.62,Warning
233365,5.52,22.70,997.18,52.61,134.63,Warning
235383,5.52,22.70,997.18,52.59,134.64,Warning
237401,5.35,22.69,997.18,52.56,134.64,Warning
239419,5.35,22.68,997.18,52.60,134.68,Warning
241437,5.35,22.68,997.18,52.60,134.70,Warning
243457,5.35,22.67,997.18,52.60,134.70,Warning
245475,5.35,22.67,997.17,52.57,134.71,Warning
247493,5.35,22.66,997.17,52.57,134.73,Warning
249511,5.20,22.65,997.17,52.57,134.76,Warning
251529,5.20,22.65,997.17,52.62,134.77,Warning
253547,5.20,22.64,997.16,52.67,134.80,Warning
255565,5.20,22.64,997.16,52.71,134.84,Warning
257583,5.20,22.63,997.16,52.77,134.86,Warning
259601,5.20,22.63,997.16,52.77,134.87,Warning
261619,5.20,22.62,997.15,52.70,134.91,Warning
263637,5.20,22.62,997.15,52.81,134.92,Warning
265657,5.04,22.61,997.15,52.91,134.94,Warning
267675,5.04,22.61,997.15,52.93,134.95,Warning
269693,5.04,22.60,997.15,52.94,134.93,Warning
271711,5.04,22.60,997.15,52.93,134.93,Warning
273729,5.04,22.59,997.15,52.82,134.96,Warning
275747,5.04,22.59,997.14,52.80,135.00,Warning
277765,5.04,22.59,997.14,52.78,134.98,Warning
279783,5.52,22.58,997.14,53.52,135.00,Warning
281801,5.20,22.65,997.16,60.55,134.84,Warning
283819,5.04,22.69,997.16,56.43,134.85,Warning
285837,4.88,22.69,997.15,54.07,134.90,Safe
287857,4.88,22.69,997.14,53.45,134.97,Safe
289875,4.88,22.68,997.14,53.17,134.97,Safe
291893,4.88,22.67,997.14,53.02,135.03,Safe
293911,4.88,22.66,997.13,52.91,135.04,Safe
295929,4.88,22.65,997.13,53.20,135.07,Safe
297947,5.04,22.71,997.13,59.39,135.09,Warning
299965,4.88,22.78,997.13,56.60,135.09,Safe
301983,4.88,22.77,997.13,54.36,135.11,Safe
304001,4.88,22.75,997.12,53.52,135.16,Safe
306019,4.88,22.73,997.12,53.25,135.18,Safe
308037,4.73,22.71,997.11,53.11,135.22,Safe
310057,4.73,22.69,997.11,53.00,135.23,Safe
312075,4.73,22.67,997.11,52.96,135.24,Safe
314093,5.04,22.66,997.11,52.94,135.25,Warning
316111,4.43,22.65,997.11,52.99,135.28,Safe
318129,4.43,22.64,997.10,52.96,135.31,Safe
320147,4.28,22.62,997.10,52.91,135.31,Safe
322165,4.28,22.60,997.10,53.10,135.36,Safe
324183,4.14,22.59,997.10,53.41,135.32,Safe
326201,3.99,22.58,997.10,53.19,135.33,Safe
328219,3.99,22.57,997.10,53.09,135.37,Safe
330237,4.14,22.56,997.09,53.08,135.40,Safe
332255,4.28,22.56,997.09,53.48,135.44,Safe
334275,4.14,22.56,997.11,53.41,135.29,Safe
336293,3.85,22.56,997.13,53.24,135.12,Safe
338311,3.71,22.56,997.14,53.15,134.97,Safe
340329,3.71,22.56,997.16,53.18,134.83,Safe
342347,3.71,22.57,997.17,53.16,134.77,Safe
344365,3.71,22.56,997.17,53.07,134.75,Safe
346383,3.71,22.56,997.18,53.01,134.69,Safe
348401,8.93,22.55,997.18,53.03,134.68,Warning
350419,3.58,22.55,997.18,53.17,134.63,Safe
352437,3.71,22.54,997.18,53.20,134.64,Safe
354455,3.71,22.53,997.18,53.25,134.65,Safe
356482,3.71,22.52,997.19,52.92,134.60,Safe
358500,3.58,22.51,997.19,52.91,134.57,Safe
360518,3.71,22.50,997.19,52.87,134.59,Safe
